neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description
Sunset Hills,650000,4,3,2800 sqft,"Welcome to this charming colonial-style home in the picturesque Sunset Hills neighborhood. The house features a cozy fireplace in the living room, a gourmet kitchen with granite countertops, and a spacious backyard perfect for entertaining guests. The master suite offers a luxurious spa-like bathroom with a soaking tub and dual vanities.","Sunset Hills is known for its tree-lined streets, friendly neighbors, and top-rated schools. Residents enjoy easy access to hiking trails, shopping centers, and dining options in this family-friendly community."
Oceanfront Estates,1500000,5,4,4000 sqft,"Live the ultimate beachfront lifestyle in this stunning contemporary home in Oceanfront Estates. The property boasts floor-to-ceiling windows with ocean views, a gourmet kitchen with high-end appliances, and a private rooftop terrace for watching breathtaking sunsets. The master suite features a spa-inspired bathroom with a walk-in shower and a soaking tub.","Oceanfront Estates is a prestigious waterfront community known for its luxury homes, pristine sandy beaches, and exclusive amenities. Residents enjoy access to private beach clubs, yacht clubs, and upscale dining options in this upscale neighborhood."
Maple Grove,400000,3,2,1800 sqft,"Nestled in the tranquil Maple Grove neighborhood, this charming bungalow features a wrap-around porch, a bright and airy living room, and a renovated kitchen with stainless steel appliances. The backyard oasis includes a deck for outdoor dining and a lush garden for relaxation.","Maple Grove is a quiet and friendly community with tree-lined streets, local parks, and close proximity to schools and shopping centers. Residents enjoy a sense of community spirit and a peaceful atmosphere in this sought-after neighborhood."
Lakeview Terrace,800000,4,3,2500 sqft,"This modern ranch-style home in Lakeview Terrace offers an open floor plan with a spacious living room, a designer kitchen with quartz countertops, and a backyard oasis with a pool and spa. The master suite features a walk-in closet and a luxurious en-suite bathroom with a rain shower and dual vanities.","Lakeview Terrace is a scenic lakeside neighborhood with waterfront properties, private boat docks, and stunning views of the lake. Residents enjoy water sports, fishing, and lakeside picnics in this peaceful and upscale community."
Hillside Heights,550000,3,2,2000 sqft,"Perched on a hilltop in Hillside Heights, this mid-century modern home offers panoramic views of the city skyline. The house features a sunlit living room with vaulted ceilings, a gourmet kitchen with quartz countertops, and a private deck for al fresco dining. The master suite boasts a walk-in closet and a spa-like bathroom with a soaking tub.","Hillside Heights is a sought-after neighborhood with winding streets, mature trees, and upscale homes. Residents enjoy easy access to hiking trails, parks, and trendy cafes in this vibrant and desirable community."
Riverfront Estates,1200000,5,4,3800 sqft,"Experience luxury living in this custom-built estate in Riverfront Estates. The property features a grand foyer, a formal dining room, a chef's kitchen with high-end appliances, and a private backyard with a pool and cabana. The master suite offers a private balcony overlooking the river and a spa-like bathroom with a steam shower and a jetted tub.","Riverfront Estates is an exclusive gated community along the riverfront, offering privacy, security, and waterfront living. Residents enjoy access to private boat docks, walking trails, and scenic views of the river in this prestigious neighborhood."
Mountain View Heights,700000,4,3,2600 sqft,"Perched on a hilltop in Mountain View Heights, this contemporary home offers breathtaking mountain views and modern amenities. The house features a sleek chef's kitchen, a spacious living room with a fireplace, and a backyard oasis with a fire pit and outdoor kitchen. The master suite boasts a walk-in closet and a spa-like bathroom with a rain shower and dual vanities.","Mountain View Heights is a scenic hillside neighborhood with panoramic views of the mountains, hiking trails, and a sense of tranquility. Residents enjoy outdoor activities, nature walks, and a peaceful setting in this desirable community."
Lakeside Manor,950000,4,3,3200 sqft,"Step into luxury in this elegant estate in Lakeside Manor. The property features a grand foyer, a formal dining room, a gourmet kitchen with top-of-the-line appliances, and a backyard oasis with a pool and spa. The master suite offers a private balcony overlooking the lake and a lavish en-suite bathroom with a soaking tub and a steam shower.","Lakeside Manor is a prestigious lakeside community with custom-built homes, private boat docks, and lush landscaping. Residents enjoy water sports, fishing, and lakeside picnics in this exclusive and upscale neighborhood."
Downtown Loft District,500000,2,2,1800 sqft,"Live in the heart of the city in this chic loft in the Downtown Loft District. The open-concept living space features exposed brick walls, high ceilings, and industrial accents. The gourmet kitchen is equipped with stainless steel appliances, and the master suite offers a walk-in closet and a spa-like bathroom with a rain shower.","The Downtown Loft District is a vibrant urban neighborhood with trendy cafes, art galleries, and nightlife. Residents enjoy easy access to public transportation, cultural attractions, and a bustling city atmosphere in this hip and desirable community."
Garden Grove,600000,3,2,2200 sqft,"Escape to this tranquil retreat in the serene Garden Grove neighborhood. The house features a sunlit living room with a cozy fireplace, a gourmet kitchen with granite countertops, and a landscaped backyard with a patio for outdoor entertaining. The master suite offers a walk-in closet and a spa-like bathroom with a soaking tub.","Garden Grove is a peaceful and family-friendly neighborhood with tree-lined streets, community parks, and a sense of community. Residents enjoy easy access to schools, shopping centers, and local amenities in this idyllic and welcoming community."
